2024-05-09 19:18:20 startup archives install
2024-05-09 19:18:20 install base-passwd:amd64 <none> 3.6.1
2024-05-09 19:18:20 status half-installed base-passwd:amd64 3.6.1
2024-05-09 19:18:21 status unpacked base-passwd:amd64 3.6.1
2024-05-09 19:18:21 configure base-passwd:amd64 3.6.1 3.6.1
2024-05-09 19:18:21 status half-configured base-passwd:amd64 3.6.1
2024-05-09 19:18:21 status installed base-passwd:amd64 3.6.1
2024-05-09 19:18:21 startup archives install
2024-05-09 19:18:22 install base-files:amd64 <none> 12.4+deb12u5
2024-05-09 19:18:22 status half-installed base-files:amd64 12.4+deb12u5
2024-05-09 19:18:22 status unpacked base-files:amd64 12.4+deb12u5
2024-05-09 19:18:22 configure base-files:amd64 12.4+deb12u5 12.4+deb12u5
2024-05-09 19:18:23 status half-configured base-files:amd64 12.4+deb12u5
2024-05-09 19:18:23 status installed base-files:amd64 12.4+deb12u5
2024-05-09 19:18:23 startup archives install
2024-05-09 19:18:23 upgrade dpkg 1.21.22 1.21.22
2024-05-09 19:18:23 status half-configured dpkg 1.21.22
2024-05-09 19:18:24 status unpacked dpkg 1.21.22
2024-05-09 19:18:24 status half-installed dpkg 1.21.22
2024-05-09 19:18:38 status unpacked dpkg:amd64 1.21.22
2024-05-09 19:18:38 configure dpkg:amd64 1.21.22 1.21.22
2024-05-09 19:18:40 status half-configured dpkg:amd64 1.21.22
2024-05-09 19:18:41 status installed dpkg:amd64 1.21.22
2024-05-09 19:18:42 startup archives install
2024-05-09 19:18:43 install libc6:amd64 <none> 2.36-9+deb12u4
2024-05-09 19:18:43 status half-installed libc6:amd64 2.36-9+deb12u4
2024-05-09 19:18:53 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-09 19:18:53 configure libc6:amd64 2.36-9+deb12u4 2.36-9+deb12u4
2024-05-09 19:18:54 status half-configured libc6:amd64 2.36-9+deb12u4
2024-05-09 19:18:54 status installed libc6:amd64 2.36-9+deb12u4
2024-05-09 19:18:54 startup archives install
2024-05-09 19:18:54 install perl-base:amd64 <none> 5.36.0-7+deb12u1
2024-05-09 19:18:54 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-09 19:18:56 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-09 19:18:56 configure perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2024-05-09 19:18:56 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2024-05-09 19:18:56 status installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-09 19:18:56 startup archives install
2024-05-09 19:18:56 install mawk:amd64 <none> 1.3.4.20200120-3.1
2024-05-09 19:18:56 status half-installed mawk:amd64 1.3.4.20200120-3.1
2024-05-09 19:18:57 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-05-09 19:18:57 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2024-05-09 19:18:57 status half-configured mawk:amd64 1.3.4.20200120-3.1
2024-05-09 19:18:57 status installed mawk:amd64 1.3.4.20200120-3.1
2024-05-09 19:18:57 startup archives install
2024-05-09 19:18:57 install debconf:all <none> 1.5.82
2024-05-09 19:18:57 status half-installed debconf:all 1.5.82
2024-05-09 19:18:58 status unpacked debconf:all 1.5.82
2024-05-09 19:18:58 configure debconf:all 1.5.82 1.5.82
2024-05-09 19:18:58 status half-configured debconf:all 1.5.82
2024-05-09 19:18:58 status installed debconf:all 1.5.82
2024-05-09 19:18:59 startup archives unpack
2024-05-09 19:18:59 install adduser:all <none> 3.134
2024-05-09 19:18:59 status half-installed adduser:all 3.134
2024-05-09 19:18:59 status unpacked adduser:all 3.134
2024-05-09 19:19:00 install apt:amd64 <none> 2.6.1
2024-05-09 19:19:00 status half-installed apt:amd64 2.6.1
2024-05-09 19:19:01 status unpacked apt:amd64 2.6.1
2024-05-09 19:19:01 upgrade base-files:amd64 12.4+deb12u5 12.4+deb12u5
2024-05-09 19:19:01 status half-configured base-files:amd64 12.4+deb12u5
2024-05-09 19:19:01 status unpacked base-files:amd64 12.4+deb12u5
2024-05-09 19:19:01 status half-installed base-files:amd64 12.4+deb12u5
2024-05-09 19:19:02 status unpacked base-files:amd64 12.4+deb12u5
2024-05-09 19:19:02 upgrade base-passwd:amd64 3.6.1 3.6.1
2024-05-09 19:19:02 status half-configured base-passwd:amd64 3.6.1
2024-05-09 19:19:02 status unpacked base-passwd:amd64 3.6.1
2024-05-09 19:19:02 status half-installed base-passwd:amd64 3.6.1
2024-05-09 19:19:02 status unpacked base-passwd:amd64 3.6.1
2024-05-09 19:19:03 install bash:amd64 <none> 5.2.15-2+b2
2024-05-09 19:19:03 status half-installed bash:amd64 5.2.15-2+b2
2024-05-09 19:19:03 status unpacked bash:amd64 5.2.15-2+b2
2024-05-09 19:19:04 install bsdutils:amd64 <none> 1:2.38.1-5+b1
2024-05-09 19:19:04 status half-installed bsdutils:amd64 1:2.38.1-5+b1
2024-05-09 19:19:04 status unpacked bsdutils:amd64 1:2.38.1-5+b1
2024-05-09 19:19:04 install coreutils:amd64 <none> 9.1-1
2024-05-09 19:19:04 status half-installed coreutils:amd64 9.1-1
2024-05-09 19:19:06 status unpacked coreutils:amd64 9.1-1
2024-05-09 19:19:06 install dash:amd64 <none> 0.5.12-2
2024-05-09 19:19:06 status half-installed dash:amd64 0.5.12-2
2024-05-09 19:19:06 status unpacked dash:amd64 0.5.12-2
2024-05-09 19:19:07 upgrade debconf:all 1.5.82 1.5.82
2024-05-09 19:19:07 status half-configured debconf:all 1.5.82
2024-05-09 19:19:07 status unpacked debconf:all 1.5.82
2024-05-09 19:19:07 status half-installed debconf:all 1.5.82
2024-05-09 19:19:08 status unpacked debconf:all 1.5.82
2024-05-09 19:19:08 install debian-archive-keyring:all <none> 2023.3+deb12u1
2024-05-09 19:19:08 status half-installed debian-archive-keyring:all 2023.3+deb12u1
2024-05-09 19:19:09 status unpacked debian-archive-keyring:all 2023.3+deb12u1
2024-05-09 19:19:09 install debianutils:amd64 <none> 5.7-0.5~deb12u1
2024-05-09 19:19:09 status half-installed debianutils:amd64 5.7-0.5~deb12u1
2024-05-09 19:19:10 status unpacked debianutils:amd64 5.7-0.5~deb12u1
