2024-05-11 14:53:43 startup archives install
2024-05-11 14:53:43 install base-passwd:amd64 <none> 3.6.1
2024-05-11 14:53:43 status half-installed base-passwd:amd64 3.6.1
2024-05-11 14:53:44 status unpacked base-passwd:amd64 3.6.1
2024-05-11 14:53:44 configure base-passwd:amd64 3.6.1 3.6.1
2024-05-11 14:53:44 status half-configured base-passwd:amd64 3.6.1
2024-05-11 14:53:44 status installed base-passwd:amd64 3.6.1
2024-05-11 14:53:44 startup archives install
2024-05-11 14:53:44 install base-files:amd64 <none> 12.4+deb12u5
2024-05-11 14:53:44 status half-installed base-files:amd64 12.4+deb12u5
2024-05-11 14:53:44 status unpacked base-files:amd64 12.4+deb12u5
2024-05-11 14:53:45 configure base-files:amd64 12.4+deb12u5 12.4+deb12u5
2024-05-11 14:53:45 status half-configured base-files:amd64 12.4+deb12u5
2024-05-11 14:53:45 status installed base-files:amd64 12.4+deb12u5
2024-05-11 14:53:45 startup archives install
2024-05-11 14:53:46 upgrade dpkg 1.21.22 1.21.22
2024-05-11 14:53:46 status half-configured dpkg 1.21.22
2024-05-11 14:53:46 status unpacked dpkg 1.21.22
2024-05-11 14:53:46 status half-installed dpkg 1.21.22
2024-05-11 14:53:46 status unpacked dpkg:amd64 1.21.22
2024-05-11 14:53:46 configure dpkg:amd64 1.21.22 1.21.22
2024-05-11 14:53:47 status half-configured dpkg:amd64 1.21.22
2024-05-11 14:53:47 status installed dpkg:amd64 1.21.22
2024-05-11 14:53:47 startup archives install
2024-05-11 14:53:47 install libc6:amd64 <none> 2.36-9+deb12u4
2024-05-11 14:53:47 status half-installed libc6:amd64 2.36-9+deb12u4
2024-05-11 14:53:48 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-11 14:53:48 configure libc6:amd64 2.36-9+deb12u4 2.36-9+deb12u4
2024-05-11 14:53:48 status half-configured libc6:amd64 2.36-9+deb12u4
2024-05-11 14:53:49 status installed libc6:amd64 2.36-9+deb12u4
2024-05-11 14:53:49 startup archives install
2024-05-11 14:53:49 install perl-base:amd64 <none> 5.36.0-7+deb12u1
2024-05-11 14:53:49 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-11 14:53:50 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-11 14:53:50 configure perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2024-05-11 14:53:50 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2024-05-11 14:53:50 status installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-11 14:53:50 startup archives install
