2024-05-12 13:49:23 startup archives install
2024-05-12 13:49:23 install base-passwd:amd64 <none> 3.6.1
2024-05-12 13:49:23 status half-installed base-passwd:amd64 3.6.1
2024-05-12 13:49:24 status unpacked base-passwd:amd64 3.6.1
2024-05-12 13:49:24 configure base-passwd:amd64 3.6.1 3.6.1
2024-05-12 13:49:24 status half-configured base-passwd:amd64 3.6.1
2024-05-12 13:49:25 status installed base-passwd:amd64 3.6.1
2024-05-12 13:49:28 startup archives install
2024-05-12 13:49:28 install base-files:amd64 <none> 12.4+deb12u5
2024-05-12 13:49:28 status half-installed base-files:amd64 12.4+deb12u5
2024-05-12 13:49:28 status unpacked base-files:amd64 12.4+deb12u5
2024-05-12 13:49:29 configure base-files:amd64 12.4+deb12u5 12.4+deb12u5
2024-05-12 13:49:29 status half-configured base-files:amd64 12.4+deb12u5
2024-05-12 13:49:29 status installed base-files:amd64 12.4+deb12u5
2024-05-12 13:49:30 startup archives install
2024-05-12 13:49:30 upgrade dpkg 1.21.22 1.21.22
2024-05-12 13:49:30 status half-configured dpkg 1.21.22
2024-05-12 13:49:30 status unpacked dpkg 1.21.22
2024-05-12 13:49:30 status half-installed dpkg 1.21.22
2024-05-12 13:49:31 status unpacked dpkg:amd64 1.21.22
2024-05-12 13:49:31 configure dpkg:amd64 1.21.22 1.21.22
2024-05-12 13:49:31 status half-configured dpkg:amd64 1.21.22
2024-05-12 13:49:31 status installed dpkg:amd64 1.21.22
2024-05-12 13:49:31 startup archives install
2024-05-12 13:49:32 install libc6:amd64 <none> 2.36-9+deb12u4
2024-05-12 13:49:32 status half-installed libc6:amd64 2.36-9+deb12u4
2024-05-12 13:49:33 status unpacked libc6:amd64 2.36-9+deb12u4
2024-05-12 13:49:33 configure libc6:amd64 2.36-9+deb12u4 2.36-9+deb12u4
2024-05-12 13:49:33 status half-configured libc6:amd64 2.36-9+deb12u4
2024-05-12 13:49:35 status installed libc6:amd64 2.36-9+deb12u4
2024-05-12 13:49:35 startup archives install
2024-05-12 13:49:36 install perl-base:amd64 <none> 5.36.0-7+deb12u1
2024-05-12 13:49:36 status half-installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-12 13:49:37 status unpacked perl-base:amd64 5.36.0-7+deb12u1
2024-05-12 13:49:37 configure perl-base:amd64 5.36.0-7+deb12u1 5.36.0-7+deb12u1
2024-05-12 13:49:37 status half-configured perl-base:amd64 5.36.0-7+deb12u1
2024-05-12 13:49:37 status installed perl-base:amd64 5.36.0-7+deb12u1
2024-05-12 13:49:37 startup archives install
2024-05-12 13:49:37 install mawk:amd64 <none> 1.3.4.20200120-3.1
2024-05-12 13:49:37 status half-installed mawk:amd64 1.3.4.20200120-3.1
2024-05-12 13:49:37 status unpacked mawk:amd64 1.3.4.20200120-3.1
2024-05-12 13:49:38 configure mawk:amd64 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2024-05-12 13:49:38 status half-configured mawk:amd64 1.3.4.20200120-3.1
2024-05-12 13:49:38 status installed mawk:amd64 1.3.4.20200120-3.1
2024-05-12 13:49:38 startup archives install
2024-05-12 13:49:38 install debconf:all <none> 1.5.82
2024-05-12 13:49:38 status half-installed debconf:all 1.5.82
2024-05-12 13:49:38 status unpacked debconf:all 1.5.82
2024-05-12 13:49:38 configure debconf:all 1.5.82 1.5.82
2024-05-12 13:49:39 status half-configured debconf:all 1.5.82
2024-05-12 13:49:39 status installed debconf:all 1.5.82
2024-05-12 13:49:40 startup archives unpack
2024-05-12 13:49:42 install adduser:all <none> 3.134
2024-05-12 13:49:42 status half-installed adduser:all 3.134
2024-05-12 13:49:48 status unpacked adduser:all 3.134
2024-05-12 13:49:48 install apt:amd64 <none> 2.6.1
2024-05-12 13:49:48 status half-installed apt:amd64 2.6.1
2024-05-12 13:49:49 status unpacked apt:amd64 2.6.1
2024-05-12 13:49:49 upgrade base-files:amd64 12.4+deb12u5 12.4+deb12u5
2024-05-12 13:49:49 status half-configured base-files:amd64 12.4+deb12u5
2024-05-12 13:49:49 status unpacked base-files:amd64 12.4+deb12u5
2024-05-12 13:49:49 status half-installed base-files:amd64 12.4+deb12u5
2024-05-12 13:49:49 status unpacked base-files:amd64 12.4+deb12u5
2024-05-12 13:49:50 upgrade base-passwd:amd64 3.6.1 3.6.1
2024-05-12 13:49:50 status half-configured base-passwd:amd64 3.6.1
2024-05-12 13:49:50 status unpacked base-passwd:amd64 3.6.1
2024-05-12 13:49:50 status half-installed base-passwd:amd64 3.6.1
2024-05-12 13:49:50 status unpacked base-passwd:amd64 3.6.1
2024-05-12 13:49:50 install bash:amd64 <none> 5.2.15-2+b2
2024-05-12 13:49:50 status half-installed bash:amd64 5.2.15-2+b2
2024-05-12 13:49:51 status unpacked bash:amd64 5.2.15-2+b2
2024-05-12 13:49:51 install bsdutils:amd64 <none> 1:2.38.1-5+b1
2024-05-12 13:49:51 status half-installed bsdutils:amd64 1:2.38.1-5+b1
2024-05-12 13:49:51 status unpacked bsdutils:amd64 1:2.38.1-5+b1
2024-05-12 13:49:51 install coreutils:amd64 <none> 9.1-1
2024-05-12 13:49:51 status half-installed coreutils:amd64 9.1-1
2024-05-12 13:49:52 status unpacked coreutils:amd64 9.1-1
2024-05-12 13:49:52 install dash:amd64 <none> 0.5.12-2
2024-05-12 13:49:52 status half-installed dash:amd64 0.5.12-2
2024-05-12 13:49:53 status unpacked dash:amd64 0.5.12-2
2024-05-12 13:49:53 upgrade debconf:all 1.5.82 1.5.82
2024-05-12 13:49:53 status half-configured debconf:all 1.5.82
2024-05-12 13:49:53 status unpacked debconf:all 1.5.82
2024-05-12 13:49:53 status half-installed debconf:all 1.5.82
